index,totalseconds,Gender,Age,Edu,Marriage,Group,SCD,RD1,RD2,RD3,RD4,RD5,T1,POS1,POS2,POS3,POS4,POS5,POS6,T2,LS1,LS2,LS3,LS4,LS5,totalvalue
72,99,2,30,4,2,-1,1,3,2,3,4,3,6,4,3,4,4,2,4,1,5,4,5,5,4,67
73,133,1,20,4,1,-1,2,1,1,1,1,3,6,1,2,5,7,5,4,1,3,3,3,1,1,51
74,123,2,53,2,3,-1,4,4,5,4,5,5,6,2,1,2,5,3,2,1,1,1,2,3,1,57
76,317,1,57,4,2,-1,3,5,2,2,4,5,6,5,5,4,6,6,5,1,6,6,6,7,6,90
77,449,2,37,5,2,-1,1,2,1,1,2,2,6,5,5,6,5,2,6,1,6,6,6,7,5,75
78,157,2,27,4,2,-1,3,3,2,4,3,4,6,3,1,4,5,3,4,1,5,4,5,3,2,65
79,119,1,36,2,2,-1,3,5,5,4,5,5,6,4,5,4,5,3,2,1,4,3,4,4,1,73
81,352,2,32,5,2,-1,2,3,4,2,4,3,6,4,3,4,5,3,5,1,2,6,5,6,1,69
82,234,2,30,4,2,-1,4,6,4,3,4,5,6,2,2,1,4,5,5,1,2,3,2,3,1,63
83,139,1,41,4,2,-1,1,5,6,5,6,6,6,2,3,5,3,2,5,1,6,2,3,2,1,70
84,190,1,30,4,1,-1,2,2,3,5,3,3,6,1,2,5,4,2,5,1,5,6,6,5,3,69
86,68,2,30,5,2,-1,2,3,2,3,5,5,6,3,3,3,4,3,4,1,3,3,3,5,4,65
88,177,1,40,4,2,-1,2,4,4,2,4,3,6,5,5,6,4,5,5,1,4,4,5,5,4,78
89,145,2,36,4,2,-1,3,5,1,1,6,5,6,1,1,2,2,1,2,1,3,4,4,3,2,53
90,56,2,35,4,2,-1,4,4,4,5,5,4,6,3,4,5,4,2,4,1,4,3,3,3,3,71
91,116,2,26,4,1,-1,2,2,3,1,4,4,6,4,4,5,4,3,4,1,5,5,6,4,3,70
92,79,2,33,4,2,-1,4,5,3,3,2,1,6,3,3,5,4,3,4,1,5,7,5,6,4,74
93,146,2,28,4,2,-1,5,7,1,2,7,4,6,1,1,3,2,3,3,1,1,4,3,1,1,56
94,81,2,27,3,2,-1,2,3,3,4,3,4,6,4,3,4,4,3,5,1,4,4,4,5,4,70
95,86,2,29,4,2,-1,2,6,7,4,6,5,6,2,1,3,5,3,4,1,2,3,4,3,1,68
96,100,1,48,4,2,-1,1,3,3,1,3,3,6,4,2,4,3,3,5,1,3,3,5,5,3,61
97,104,2,32,4,2,-1,1,5,2,3,4,3,6,2,1,4,3,2,4,1,5,4,5,5,2,62
98,110,1,22,4,1,-1,2,5,3,5,7,3,6,7,4,3,6,5,5,1,2,3,4,5,1,77
99,164,1,35,5,2,-1,2,2,1,1,1,1,6,5,5,7,4,4,7,1,6,6,7,6,6,78
100,144,1,40,4,2,-1,4,1,1,1,1,2,6,7,7,7,6,6,2,1,7,6,7,7,6,85
101,149,1,28,4,2,-1,6,7,6,2,6,6,6,2,1,2,7,2,2,1,2,2,3,2,1,66
102,153,2,30,5,2,-1,3,2,3,3,5,2,6,3,1,5,4,1,4,1,5,6,6,7,3,70
103,827,2,33,4,2,-1,3,3,2,4,4,3,6,4,3,4,3,4,5,1,3,4,4,3,3,66
104,211,2,23,4,1,-1,3,4,2,4,4,5,6,5,6,5,4,2,3,1,3,4,5,5,2,73
105,420,2,30,4,2,-1,1,6,6,7,7,6,6,2,3,2,5,2,3,1,2,2,2,1,1,65
106,319,1,28,4,2,-1,2,7,7,5,6,7,6,2,1,1,6,2,1,1,2,3,3,3,2,67
107,214,2,32,4,2,-1,3,1,2,1,1,2,6,6,7,6,2,2,5,1,5,6,5,7,5,73
108,457,1,34,4,2,-1,3,1,1,1,1,1,6,3,1,5,4,3,5,1,5,5,6,6,4,62
109,101,2,32,4,2,-1,5,3,1,3,6,7,6,3,3,2,4,5,5,1,5,4,5,6,1,75
110,633,1,40,4,2,-1,1,5,5,5,4,4,6,4,4,3,6,4,4,1,1,3,3,3,1,67
112,860,2,32,4,2,-1,2,3,4,2,4,3,6,4,3,4,5,2,4,1,5,3,5,6,4,70
129,68,2,40,4,2,-1,4,5,5,5,6,5,6,5,6,5,6,4,5,1,4,5,5,5,5,92
130,109,2,25,4,1,-1,2,3,3,5,5,5,6,3,2,2,4,1,3,1,3,2,3,2,2,57
132,64,2,40,4,2,-1,4,6,5,5,5,5,6,5,4,4,4,4,4,1,5,5,5,5,5,87
133,74,1,33,4,2,-1,1,2,1,3,1,2,6,1,6,7,7,6,7,1,5,5,6,7,5,79
134,122,1,29,4,1,-1,2,3,1,4,3,1,6,5,5,6,5,4,5,1,4,5,6,6,3,75
135,79,2,24,4,1,-1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,5,5,5,5,5,44
136,98,1,27,4,1,-1,1,1,1,5,2,3,6,5,5,5,4,4,6,1,4,4,5,4,4,70
139,119,2,22,3,2,-1,3,4,1,2,2,1,6,4,4,2,2,1,3,1,6,5,6,6,4,63
140,64,1,30,4,1,-1,4,4,3,2,3,3,6,3,3,4,3,4,3,1,4,4,4,3,2,63
141,130,1,42,4,2,-1,2,3,6,6,5,5,6,2,2,2,6,3,2,1,3,3,3,4,2,66
142,99,2,29,4,2,-1,1,2,1,1,1,2,6,5,5,5,5,5,6,1,7,6,7,7,6,79
143,101,1,29,4,2,-1,2,5,6,5,5,6,6,3,3,4,3,4,3,1,3,4,4,3,3,73
144,174,1,39,4,2,-1,2,4,3,5,3,4,6,5,3,4,7,6,5,1,3,4,6,5,2,78
145,123,2,35,3,2,-1,2,5,3,3,4,3,6,5,5,6,4,5,4,1,2,5,7,5,2,77
147,186,2,29,4,2,-1,2,5,5,3,6,5,6,3,2,4,5,1,4,1,4,3,3,4,2,68
148,84,2,33,4,2,-1,3,3,3,5,3,5,6,5,6,5,6,6,5,1,5,6,5,5,2,85
150,95,1,34,4,2,-1,1,1,2,1,3,1,6,4,4,5,5,4,6,1,6,5,7,7,3,72
151,113,2,47,4,2,-1,2,2,3,2,2,1,6,4,5,6,5,5,5,1,5,4,6,6,5,75
152,126,1,48,3,2,-1,3,2,3,4,6,3,6,2,3,1,5,2,2,1,2,4,5,1,3,58
153,202,2,30,4,2,-1,1,2,2,1,3,1,6,5,4,5,5,3,5,1,4,4,5,5,6,68
154,139,2,28,5,2,-1,3,5,5,7,6,4,6,1,3,3,6,1,3,1,5,4,4,6,2,75
156,94,2,23,4,1,-1,2,5,4,5,6,5,6,3,3,3,5,4,3,1,3,4,3,2,3,70
157,358,1,37,4,2,-1,3,5,5,6,6,5,6,2,2,3,6,2,2,1,2,2,1,3,2,64
159,142,2,28,3,1,-1,5,4,2,2,4,2,6,2,5,5,4,3,4,1,3,3,4,3,1,63
160,151,1,30,3,2,-1,4,7,4,2,4,2,6,4,2,2,4,1,4,1,4,4,5,4,1,65
161,159,1,35,3,2,-1,1,7,7,1,7,4,6,1,1,2,5,1,4,1,7,1,1,6,1,64
162,198,2,32,4,2,-1,2,1,2,3,1,2,6,5,5,6,5,5,6,1,7,6,7,6,5,81
163,312,2,52,2,2,-1,1,6,6,5,4,5,6,3,4,3,5,5,4,1,4,5,5,4,2,78
164,260,2,28,4,1,-1,3,2,1,1,2,1,6,4,4,5,4,4,6,1,6,5,6,6,5,72
165,269,1,28,3,2,-1,1,5,2,2,4,3,6,2,3,4,5,2,5,1,3,5,6,5,3,67
166,524,2,35,4,2,-1,2,1,1,2,1,2,6,4,4,5,5,4,6,1,6,5,6,6,5,72
167,710,2,30,4,1,-1,2,3,2,1,2,2,6,1,2,4,4,3,2,1,5,4,5,4,3,56
169,77,2,29,4,2,-1,5,7,5,4,6,7,6,2,1,2,3,1,2,1,1,2,4,5,1,65
170,84,2,33,4,2,-1,4,5,3,3,4,3,6,5,5,4,5,4,5,1,4,5,5,6,5,82
171,88,2,18,4,1,-1,2,4,1,2,6,5,6,4,3,5,4,2,4,1,4,3,5,3,3,67
173,122,2,30,4,1,-1,3,5,4,5,4,3,6,4,5,5,4,3,6,1,5,4,5,3,2,77
174,61,2,28,4,2,-1,5,5,6,5,6,4,6,2,2,3,4,3,3,1,5,6,7,5,3,81
175,125,2,24,4,2,-1,3,3,3,4,5,3,6,4,4,4,5,4,5,1,4,4,5,4,3,74
176,86,2,34,4,2,-1,1,2,2,1,1,2,6,3,2,1,1,1,1,1,6,5,7,6,6,55
177,87,2,35,4,2,-1,2,3,3,2,2,2,6,5,5,6,4,4,5,1,4,5,5,5,5,74
178,105,1,41,3,2,-1,1,3,3,5,4,3,6,4,4,4,5,4,5,1,5,5,6,5,3,76
179,106,1,32,4,2,-1,1,5,4,4,4,3,6,5,4,4,5,3,4,1,5,5,5,6,1,75
180,115,1,32,4,2,-1,2,5,6,6,7,6,6,3,4,5,6,3,6,1,2,3,2,2,1,76
181,140,1,42,5,2,-1,3,4,3,4,3,2,6,3,2,3,5,4,3,1,3,4,3,5,2,63
182,62,2,33,3,2,-1,5,4,6,4,6,5,6,5,6,6,5,6,5,1,5,6,5,6,7,99
183,142,1,49,4,2,-1,4,3,2,1,1,1,6,4,4,4,3,3,4,1,6,4,6,6,4,67
184,92,2,32,4,2,-1,4,6,6,3,6,3,6,4,4,5,6,3,4,1,2,4,4,2,1,74
185,96,2,24,4,1,-1,2,1,2,1,3,2,6,5,4,6,5,2,6,1,4,3,5,2,1,61
186,102,2,25,4,2,-1,3,7,5,7,5,3,6,5,4,5,7,4,3,1,3,4,2,2,4,80
187,120,2,45,3,2,-1,3,5,5,5,6,4,6,2,2,2,5,4,3,1,2,2,2,2,1,62
188,70,2,29,4,2,-1,4,5,3,3,2,4,6,4,3,3,5,2,4,1,6,4,4,6,3,72
189,140,1,38,4,2,-1,1,5,4,2,5,3,6,4,4,5,6,4,4,1,3,4,5,3,2,71
190,77,2,28,4,2,-1,2,4,4,3,5,4,6,3,4,4,6,4,5,1,5,4,5,5,3,77
191,99,2,38,4,2,-1,2,2,1,4,4,2,6,4,2,5,2,1,4,1,4,4,5,6,5,64
192,116,2,41,4,2,-1,3,4,4,2,5,4,6,3,3,4,4,3,3,1,3,3,4,5,3,67
193,73,2,26,4,2,-1,4,7,2,1,3,3,6,2,3,4,7,4,5,1,7,7,7,7,6,86
194,141,2,34,3,2,-1,3,6,5,6,7,5,6,2,1,2,5,1,2,1,2,1,3,6,2,66
195,146,1,43,3,2,-1,5,5,6,4,5,5,6,3,4,4,4,4,4,1,3,3,4,1,1,72
196,150,2,25,4,1,-1,5,4,3,3,3,2,6,4,4,6,6,3,7,1,5,5,5,4,2,78
197,87,2,28,5,2,-1,2,4,4,5,5,6,6,3,3,4,5,4,3,1,3,4,4,3,2,71
199,230,2,30,4,1,-1,3,3,3,5,6,5,6,3,4,3,4,4,5,1,4,3,4,4,3,73
200,293,2,28,4,2,-1,2,2,2,6,2,2,6,6,5,4,5,2,4,1,4,4,3,5,5,70
201,77,2,26,4,2,-1,2,1,2,4,3,2,6,4,4,6,6,6,5,1,5,7,6,4,3,77
202,144,1,17,4,1,-1,2,5,3,6,4,3,6,3,2,5,3,4,5,1,5,6,6,3,2,74
203,87,1,36,4,2,-1,2,2,2,1,2,1,6,6,6,6,6,6,6,1,6,6,6,6,6,83
204,157,1,53,4,2,-1,2,1,3,1,3,1,6,5,4,6,4,3,5,1,5,4,5,6,7,72
205,95,2,30,5,2,-1,3,2,2,4,5,4,6,3,2,4,4,2,5,1,2,1,4,2,5,61
206,92,1,30,4,2,-1,3,2,2,5,5,4,6,4,3,2,5,6,5,1,2,1,1,2,1,60
207,100,1,28,4,2,-1,1,7,1,7,7,7,6,1,1,1,7,1,1,1,1,1,1,1,1,54
208,230,2,33,4,2,-1,1,7,1,4,1,2,6,3,4,5,5,5,6,1,6,5,7,7,6,82
210,72,2,28,4,2,-1,4,5,3,1,4,3,6,4,2,2,5,2,4,1,2,4,5,6,3,66
211,114,1,30,4,2,-1,2,3,1,1,2,3,6,7,5,6,4,3,5,1,3,5,5,4,3,69
212,72,2,32,4,2,-1,2,4,5,5,6,5,6,4,3,4,4,5,4,1,3,4,3,3,2,73
213,363,1,48,4,2,-1,2,5,6,1,3,4,6,2,4,3,5,2,4,1,3,4,2,6,3,66
214,152,1,31,5,2,-1,2,3,3,2,4,3,6,4,4,5,5,4,5,1,5,5,7,5,3,76
215,96,1,31,4,2,-1,2,5,3,4,3,4,6,3,5,3,4,6,4,1,4,6,5,3,5,76
216,222,2,28,5,2,-1,2,5,4,6,5,5,6,3,3,2,5,4,3,1,3,4,3,3,2,69
217,206,2,30,4,2,-1,1,5,5,5,5,6,6,5,6,5,4,4,5,1,5,6,5,6,1,86
219,283,1,29,4,2,-1,1,2,1,1,4,4,6,3,4,4,4,3,5,1,5,4,6,5,3,66
220,268,2,32,4,2,-1,1,2,1,1,2,2,6,5,4,5,4,3,5,1,6,5,6,5,4,68
221,399,2,32,3,2,-1,2,4,3,5,4,5,6,3,3,3,2,2,3,1,3,3,4,3,3,62
224,84,2,48,4,2,-1,4,3,2,3,5,3,6,5,3,6,3,3,6,1,5,3,6,6,6,79
225,98,1,39,4,2,-1,2,6,5,5,6,6,6,2,2,3,5,2,1,1,1,3,1,1,2,60
226,106,1,26,4,1,-1,1,2,7,2,7,6,6,1,1,3,4,3,4,1,5,2,3,1,1,60
227,126,1,45,3,2,-1,5,3,1,1,2,1,6,6,6,6,6,5,6,1,6,6,7,6,6,86
228,125,2,38,3,2,-1,3,3,3,2,2,2,6,5,5,5,4,4,5,1,6,6,6,6,4,78
229,137,2,28,4,2,-1,2,5,4,2,6,5,6,2,2,3,3,3,4,1,3,4,5,3,1,64
230,95,2,33,4,2,-1,3,6,4,3,6,1,6,3,3,4,4,3,4,1,5,4,6,5,2,73
232,138,2,32,3,2,-1,2,5,3,5,6,6,6,2,2,3,4,3,4,1,4,3,4,6,3,72
233,95,2,34,4,2,-1,1,4,2,1,4,2,6,5,4,6,3,4,5,1,6,5,6,5,3,73
234,159,1,34,3,2,-1,2,3,3,2,1,2,6,5,6,5,4,4,6,1,5,6,7,5,4,77
235,139,2,30,4,2,-1,2,5,6,6,7,7,6,3,1,3,3,3,4,1,2,4,4,3,2,72
236,140,2,24,4,1,-1,4,5,3,3,5,3,6,1,1,2,5,1,2,1,4,5,6,1,2,60
237,255,2,30,4,2,-1,4,4,3,2,2,2,6,2,4,4,5,4,4,1,4,5,6,5,4,71
238,252,2,30,3,2,-1,4,3,4,3,2,2,6,5,6,7,5,7,5,1,7,6,7,5,4,89
240,152,2,37,4,2,-1,2,5,3,5,5,5,6,2,1,3,4,4,3,1,3,2,3,2,1,60
241,126,2,32,4,2,-1,2,1,2,1,2,1,6,5,6,7,5,5,6,1,5,6,7,5,6,79
242,148,2,26,4,1,-1,2,3,1,2,5,2,6,5,2,5,6,4,5,1,4,5,4,3,1,66
243,84,2,35,4,2,-1,2,2,1,1,2,1,6,5,4,5,5,5,6,1,5,6,6,5,4,72
244,207,2,36,4,2,-1,3,3,4,5,5,4,6,5,5,6,4,6,5,1,5,6,5,6,5,89
245,177,1,39,4,2,-1,6,6,6,3,5,3,6,7,6,4,1,1,3,1,3,3,4,5,2,75
247,122,1,29,4,2,-1,1,6,4,2,5,3,6,5,4,4,6,7,7,1,4,5,6,7,5,88
248,194,1,35,4,2,-1,3,5,3,1,2,1,6,5,4,5,6,4,6,1,6,7,5,6,1,77
249,214,1,31,3,1,-1,1,7,5,6,7,5,6,2,1,4,5,3,4,1,3,2,4,5,4,75
250,297,1,37,4,2,-1,2,6,7,2,6,5,6,2,1,3,6,3,1,1,3,1,3,5,1,64
251,238,1,36,4,2,-1,1,2,1,1,3,1,6,6,5,5,4,2,5,1,6,5,5,6,6,71
252,447,2,32,4,2,-1,3,5,2,1,4,3,6,5,1,3,2,1,4,1,5,4,6,3,2,61
253,1621,1,32,4,2,-1,2,1,3,5,4,3,6,4,3,3,6,4,3,1,3,3,3,5,1,63
255,154,2,28,4,2,-1,2,3,1,1,2,1,6,3,2,4,2,1,4,1,4,4,5,4,3,53
1,126,2,32,4,2,1,4,2,1,1,2,1,6,5,4,6,4,5,6,1,5,6,7,5,6,77
3,142,2,31,4,2,1,4,4,3,2,4,4,6,3,2,3,3,3,4,1,4,4,5,4,3,66
4,157,1,36,4,2,1,3,4,4,5,5,5,6,6,5,2,2,1,2,1,1,2,4,6,1,65
8,182,2,24,4,1,1,6,7,5,3,7,6,6,1,1,1,4,1,3,1,2,4,3,3,4,68
9,183,1,43,4,2,1,5,5,6,5,6,5,6,3,2,3,6,4,3,1,3,2,3,3,1,72
10,124,2,20,4,1,1,4,3,3,2,2,2,6,3,3,4,4,5,5,1,5,5,5,6,3,71
12,120,1,29,4,1,1,6,7,6,6,7,6,6,2,2,1,6,4,2,1,1,2,2,2,1,70
13,185,2,48,2,2,1,3,6,5,2,5,5,6,4,4,5,4,2,2,1,1,2,3,1,1,62
14,188,2,25,4,1,1,6,7,5,3,5,6,6,1,1,2,7,6,2,1,3,3,4,3,1,72
15,137,1,25,1,1,1,6,7,7,4,7,6,6,1,1,1,7,2,1,1,1,1,1,1,1,62
16,144,2,33,4,2,1,5,4,2,2,2,2,6,5,5,4,4,3,4,1,6,5,6,5,1,72
17,138,2,37,4,2,1,6,6,6,5,4,5,6,2,3,2,4,2,4,1,3,2,1,2,2,66
19,128,1,39,4,2,1,5,6,6,5,5,5,6,3,2,2,6,2,2,1,2,2,2,2,2,66
20,131,2,25,4,1,1,5,4,5,2,7,5,6,1,1,2,4,1,2,1,4,3,4,3,5,65
21,141,1,37,2,1,1,6,6,5,3,4,5,6,7,5,6,5,3,4,1,4,7,6,5,2,90
23,226,1,21,4,1,1,6,4,1,1,2,2,6,5,3,5,4,5,5,1,4,3,4,5,2,68
25,118,1,22,5,1,1,5,3,2,1,2,2,6,5,4,5,4,6,6,1,7,6,7,7,5,84
26,183,2,24,4,1,1,5,3,2,4,6,5,6,1,1,3,4,3,1,1,3,4,5,2,1,60
27,130,2,24,4,1,1,6,5,3,4,5,3,6,5,4,3,6,5,4,1,2,4,3,1,2,72
29,142,2,32,4,2,1,6,6,5,2,6,2,6,5,4,5,5,6,6,1,6,6,7,6,7,97
30,204,2,23,4,1,1,5,7,5,6,6,7,6,3,2,1,4,3,3,1,3,2,1,2,2,69
31,271,2,25,4,2,1,4,6,3,2,7,5,6,3,2,3,5,1,3,1,2,1,3,1,1,59
34,172,1,47,4,2,1,4,6,5,5,4,4,6,4,5,5,4,4,5,1,4,5,4,5,4,84
38,130,2,24,2,2,1,5,1,1,2,3,7,6,2,2,4,6,1,4,1,6,5,6,4,2,68
40,133,2,23,4,2,1,6,3,2,5,3,4,6,4,3,5,4,2,3,1,4,2,1,5,3,66
41,345,2,42,4,2,1,5,6,2,2,5,4,6,4,4,4,4,4,3,1,5,5,6,5,4,79
43,147,2,30,4,2,1,6,7,6,1,7,7,6,1,2,3,4,1,4,1,5,4,5,5,4,79
46,228,1,39,4,2,1,4,4,2,1,2,3,6,4,4,4,5,4,4,1,4,4,4,4,3,67
47,372,1,35,4,2,1,6,5,4,3,7,5,6,2,3,4,6,3,4,1,2,4,2,5,3,75
51,137,1,37,4,2,1,6,5,3,4,5,6,6,4,5,3,4,3,3,1,5,4,3,2,1,73
52,130,2,26,4,2,1,5,4,3,3,4,3,6,5,5,4,6,5,5,1,5,4,4,3,4,79
53,201,2,35,4,2,1,6,3,2,1,5,4,6,2,1,2,2,1,2,1,4,3,5,4,3,57
55,191,1,60,3,2,1,6,6,5,2,7,4,6,2,2,3,4,3,4,1,2,3,5,4,1,70
56,133,2,29,4,2,1,5,5,5,5,7,5,6,2,2,3,4,3,2,1,3,2,3,4,2,69
58,172,1,54,5,2,1,4,4,2,4,3,4,6,3,3,4,6,4,5,1,3,4,4,3,2,69
59,121,2,32,4,2,1,6,4,3,3,6,4,6,2,1,3,3,1,3,1,5,4,4,5,2,66
60,123,2,33,4,1,1,4,5,5,5,5,5,6,3,3,3,5,4,4,1,4,4,4,4,3,77
61,173,2,32,5,2,1,3,3,3,2,4,2,6,4,3,4,4,3,4,1,3,4,5,6,3,67
63,127,2,32,3,1,1,3,4,1,1,1,1,6,1,1,4,4,4,4,1,7,7,7,7,1,65
64,137,2,27,4,2,1,6,4,2,4,5,3,6,3,2,4,5,5,4,1,3,2,5,4,1,69
65,138,1,31,4,2,1,4,4,2,1,4,3,6,3,3,4,4,3,5,1,5,5,6,4,3,70
66,145,2,30,4,2,1,4,2,2,1,3,2,6,4,4,6,5,4,6,1,5,5,6,5,7,78
67,149,2,29,4,2,1,4,2,2,1,5,3,6,3,3,4,5,4,5,1,4,5,6,4,3,70
68,179,1,42,4,2,1,6,5,4,2,5,2,6,4,4,5,4,3,5,1,5,5,6,5,5,82
70,191,1,58,3,2,1,4,4,3,4,4,3,6,5,5,6,5,3,5,1,5,5,6,7,5,86
72,135,2,22,4,1,1,5,4,3,2,4,2,6,6,4,6,7,3,5,1,5,4,6,3,2,78
